English,Hungarian
granted,megadott
jazz,dzsessz
july,július
supplies,készletek
deeper,mélyebb
typical,tipikus
kicking,rúgás
obey,engedelmeskedik
dancer,táncos
remote,távoli
daughters,lányai
moron,idióta
latin,latin
teachers,tanárok
toby,Toby
sandy,homokos
dragged,húzott
strategy,stratégia
parent,szülő
jin,jin
album,album
compared,ahhoz képest
rubbish,szemét
helpful,hasznos
powder,por
sync,szinkronizál
bum,ingyenélő
passes,átesik
joan,Joan
fort,erőd
choices,választás
alley,sikátor
supper,vacsora
penis,hímvessző
alibi,alibi
sammy,Sammy
pole,pólus
coke,koksz
scientist,tudós
fighter,harcos
highway,országút
blade,penge
alpha,alfa
diet,diéta
liquor,folyadék
jet,vadászgép
widow,özvegy
liberty,szabadság
philip,philip
moral,erkölcsi
carrie,Carrie
award,díj
grief,bánat
thirsty,szomjas
ashley,Ashley
random,véletlen
suspects,gyanúsítottak
intention,szándék
julian,Julian
active,aktív
tools,szerszámok
driven,hajtott
trauma,sérülés
headache,fejfájás
safely,biztonságosan
alexander,Sándor
knee,térd
lads,hölgyek
novel,regény
conversations,beszélgetések
waters,vizek
lookin,benéz
invisible,láthatatlan
internal,belső
peaceful,Békés
humming,zümmögő
washed,mosott
drives,hajtások
talented,tehetséges
li,li
aid,támogatás
elephant,elefánt
troubles,baj
core,mag
serial,sorozatszám
painted,festett
divine,isteni
jam,lekvár
goat,kecske
opera,opera
thieves,tolvajok
guessing,találgatás
objection,ellenvetés
whiskey,whisky
florida,Florida
resistance,ellenállás
dressing,öltözködés
attached,csatolt
aaron,Áron
brief,rövid
punish,büntet
eternal,örök
lois,lois
required,kívánt
victoria,Victoria
fabulous,mesés
twins,Ikrek
characters,karakterek
cooked,főtt
ln,LN
ruth,Ruth
dreamed,álmodott
arts,művészetek
naughty,rossz
stabbed,szúrt
tend,hajlamos
diane,diane
tap,Koppintson a
soap,szappan
locker,öltözőszekrény
development,fejlesztés
images,képek
prick,pöcs
global,globális
string,húr
bitter,keserű
sharing,megosztás
corn,kukorica
craig,craig
fits,illik
tent,sátor
forms,formák
votes,szavazás
harold,harold
propose,javasol
monica,monika
constantly,állandóan
granny,nagyi
nicely,szépen
nerves,idegek
arguing,vitatkozik
abuse,visszaélés
relatives,rokonok
survival,túlélés
gloves,kesztyű
tracking,követés
zoe,zoe
u,u
bend,hajlít
review,felülvizsgálat
connect,összekapcsol
separated,elválasztott
elder,idősebb
beard,szakáll
admiral,admirális
diana,Diana
salary,fizetés
areas,terület
disturb,zavar
pro,profi
maintain,fenntart
solved,megoldott
wealth,jólét
bitches,szukák
possession,birtoklás
sang,énekelt
gimme,gimm
plates,tányérok
shoulders,vállak
burnt,megégett
recorded,rögzített
upper,felső
counts,számít
tale,mese
profit,nyereség
colleague,kolléga
warehouse,raktár
hostage,túsz
shore,part
porn,pornó
miami,Miami
fifteen,tizenöt
visitors,látogatók
bo,bo
net,háló
insult,sértés
owen,Owen
cities,városok
causing,okozó
lemon,citrom
heal,gyógyít
banging,dörömbölés
honeymoon,nászút
appeal,fellebbezés
marshall,marshall
critical,kritikai
creating,létrehozás
scotland,Skócia
crane,daru
enormous,hatalmas
testimony,bizonyság
praise,dicséret
fights,harc
indians,indiánok
commission,jutalék
growls,morgás
nicole,nicole
sins,bűnök
fraud,csalás
branch,ág
happily,boldogan
bout,küzdelem
covering,burkolat
occurred,megtörtént
beans,bab
raw,nyers
muscle,izom
pages,oldalak
tense,feszült
relationships,kapcsolatok
management,vezetés
assignment,feladat
blonde,szőke
catching,fogás
exposed,kitett
canada,Kanada
dont,nem
han,Han
von,von
comedy,komédia
marco,Marco
stroke,ütés
whistling,fütyülő
buildings,épületek
shaking,rázás
p.m.,délután.
facility,létesítmény
appropriate,megfelelő
remarkable,figyelemre méltó
transferred,átadott
drawn,húzott
tits,mell
clicking,kattintás
symbol,szimbólum
motor,motor
employees,alkalmazottak
ambassador,nagykövet
mothers,anyák
pile,halom
feeding,táplálás
soda,szóda
checks,ellenőrzés
bears,medvék
cookies,sütik
slut,kurva
awfully,szörnyen
stepped,lépett
toys,játékok
levels,szint
differently,eltérően
magnificent,Káprázatos
steak,steak
tube,cső
leaders,vezetők
superior,kiváló
herr,herr
pan,Pán
expression,kifejezés
currently,jelenleg
throne,trón
deadly,halálos
bee,méh
tooth,fog
depressed,nyomott
potatoes,krumpli
wicked,gonosz
resources,erőforrások
native,anyanyelvi
centuries,évszázadok
karl,karl
poetry,költészet
multiple,többszörös
cable,kábel
shortly,hamarosan
buzz,zümmögés
socks,zokni
fingerprints,ujjlenyomatok
goddess,istennő
chin,áll
anxious,aggódó
september,szeptember
colors,színek
basketball,kosárlabda
promises,ígéretek
explained,magyarázott
appearance,kinézet
musical,zenei
sends,küld
slide,csúszik
aii,aii
shawn,shawn
ultimate,végső
pork,sertéshús
communication,kommunikáció
payment,fizetés
structure,szerkezet
paperwork,papírmunka
obsessed,megszállott
lazy,lusta
russians,oroszok
actors,színészek
squeeze,présel
magical,mágikus
colleagues,kollégák
admire,csodál
madness,őrültség
roads,utak
entry,belépés
injury,sérülés
burden,teher
racing,verseny
manner,mód
freezing,fagyasztó
bits,bitek
norman,normann
mount,hegy
battery,akkumulátor
dessert,desszert
pound,font
visited,meglátogatott
motel,motel
rumbling,dörgés
cinema,mozi
fond,kedvel
halfway,félúton
rifle,puska
reception,recepció
statue,szobor
fridge,hűtő
brick,tégla
abandon,elhagyott
lap,ölelés
natalie,Natalie
wars,háborúk
recommend,javasol
brush,kefe
nelson,nelson
pill,tabletta
concept,koncepció
w,w
delay,késleltetés
quarters,szállás
korea,Korea
janet,Janet
rub,dörzsölés
mall,pláza
soil,talaj
complaint,panasz
sail,vitorla
baker,pék
coughs,köhögés
bucket,vödör
description,leírás
badge,jelvény
measure,intézkedés
hip,csípő
function,funkció
indistinctly,határozatlanul
harris,harisi
foundation,Alapítvány
labor,munkaerő
willie,Willie
waiter,pincér
homeless,hajléktalan
proved,bizonyított
unfortunate,szerencsétlen
log,fatörzs
meetings,találkozók
giggles,kuncog
combat,harc
poem,vers
polish,fényesít
handed,átadott
mia,MIA
weed,gyom
raymond,Raymond
tons,tonna
satellite,műhold
jersey,Jersey
eagle,sas
privacy,magánélet
chapter,fejezet
treating,kezelés
wisdom,bölcsesség
flip,flip
entering,belépő
barn,istálló
farmer,Gazda
clan,klán
budget,költségvetés
pub,kocsma
temporary,ideiglenes
effective,hatékony
sonny,fiacskám
wendy,wendy
juan,Juan
lamb,Bárány
plot,cselekmény
riley,riley
proposal,javaslat
sticks,botok
searched,átkutatott
blessing,áldás
rage,düh
bothered,zavart
sydney,Sydney
manners,modor
recover,visszaszerez
twist,csavar
neil,neil
leak,szivárog
item,tétel
catholic,katolikus
sighing,sóhajt
retired,nyugdíjas
kings,királyok
inner,belső
cents,cent
affect,hatással van
forbidden,tiltott
patch,tapasz
drops,cseppek
necessarily,szükségszerűen
provided,biztosítani
meters,méter
booked,foglalt
returns,visszatér
gloria,Gloria
fires,tüzelés
humor,humor
torn,szakadt
e-mail,email
rocky,sziklás
introduced,bemutatott
creative,kreatív
betray,elárul
soviet,szovjet
various,különféle
added,hozzáadott
discovery,felfedezés
cowboy,cowboy
suspected,feltételezett
suggested,javasolt
delighted,örömteli
sticking,ragasztás
dive,merül
shane,Shane
radar,radar
prosecutor,ügyész
amber,borostyán
vast,hatalmas
quinn,quinn
owned,birtokolt
cookie,aprósütemény
finest,legjobb
pump,szivattyú
valentine,szerető
counter,számláló
sorts,válogatás
coin,érme
warren,háborút
slaves,rabszolgák
marine,tengeri
illness,betegség
sack,zsák
bid,ajánlattétel
require,megkövetel
moscow,Moszkva
largest,legnagyobb
washing,mosás
achieve,elér
causes,okoz
k,K -
mo,MO
dope,kábítószer
nest,fészek
palm,tenyér
logan,Logan
constant,állandó
b.,b.
boo,lehurrogás
medication,gyógyszer
gravity,gravitáció
booze,nyakal
noah,Noé
evan,Evan
abroad,külföldön
christine,Christine
rising,emelkedő
analysis,elemzés
cuts,vágások
eats,eszik
employee,munkavállaló
vodka,vodka
damaged,sérült
solar,nap
height,magasság
pops,pops
yards,udvar
terrified,rémült
suitcase,bőrönd
chemical,kémiai
preparing,előkészítés
advanced,fejlett
fund,alap
wears,visel
chirping,csiripelés
web,háló
phase,fázis
prom,promóciós
suggesting,javaslat
fleet,flotta
lame,béna
irish,ír
editor,szerkesztő
october,október
assumed,feltételezte
whip,ostor
mel,mel
region,vidék
amongst,között
temper,kedély
discussion,vita
engines,motorok
operate,működtet
sunshine,napfény
acted,cselekedett
undercover,titkos
horror,borzalom
tested,tesztelt
smash,összetör
contrary,ellentétes
roses,rózsa
poker,póker
wrapped,csomagolt
korean,koreai
graham,graham
mi,MI
fu,fu
ivan,Iván
focused,összpontosított
liam,liam
tragic,tragikus
carla,Carla
demons,démonok
rounds,kerek
entertainment,szórakozás
gathered,összegyűjtött
uhh,uhh
yells,kiabál
lincoln,Lincoln
crossing,átkelés
blanket,takaró
nut,dió
travis,travis
pockets,zsebek
limited,korlátozott
paintings,festmény
sober,józan
caesar,Caesar
sis,sis
intended,szándékolt
niece,unokahúg
computers,számítógépek
tennis,tenisz
needle,tű
chicks,csibék
traditional,hagyományos
delicate,törékeny
independent,független
leslie,Leslie
lauren,Lauren
grandson,unoka
repair,javítás
a.,a.
brandon,Brandon
executive,végrehajtó
colin,kolin
recognized,elismert
regarding,tekintettel
weakness,gyengeség
aliens,idegenek
gunshots,lövések
european,európai
method,módszer
tool,eszköz
demands,igények
permit,engedély
towel,törülköző
daisy,Százszorszép
nowadays,Manapság
spider,pók
northern,északi
rangers,őrök
zoo,állatkert
praying,imádkozás
antonio,Antonio
passengers,utasok
con,beilleszt
australia,Ausztrália
technique,technika
cellphone,mobiltelefon
gently,gyengéden
operations,tevékenységek
planes,sík
bunny,nyuszi
gunfire,ágyúzás
shining,csillogó
backwards,visszafelé
skill,készség
uh-,uh-
baron,báró
kidnapping,emberrablás
iike,iike
marshal,marsall
petty,piti
sealed,zárt
massage,masszázs
raising,emelés
menu,menü
diary,napló
fucker,bukó
wagon,vasúti kocsi
audition,meghallgatás
mitch,bukás
mexican,mexikói
casino,kaszinó
bacon,szalonna
diego,Diegó
dutch,holland
promotion,promóció
click,kattintás
forgiveness,megbocsátás
burst,robbanás
permanent,állandó
interfere,beavatkozik
chanting,éneklés
dammit,rohanó
spencer,pelyhes
recovered,helyrehozott
registered,bejegyzett
sunny,napos
packing,csomagolás
scenes,jelenetek
superman,felsőbbrendű ember
questioning,megkérdőjelezés
unfair,tisztességtelen
admitted,felvételt nyer
ancestors,ősök
polite,udvarias
completed,befejezett
swallow,Nyel
conduct,magatartás
prayers,imák
sheet,lemez
fried,sült
avenue,sugárút
poisoned,megmérgezett
reverse,fordított
newspapers,újságok
ford,fordít
complaining,panaszkodás
senses,érzékek
investment,beruházás
absurd,abszurd
potato,burgonya
understands,megérti
grows,növekszik
inspired,ihletett
ruby,rubin
celebrating,ünneplő
tag,címke
ram,kos
requires,igényel
bonnie,bonnie
bugs,rovarok
leonard,Leonard
elliot,Elliot
hooked,Függő
jill,jill
ranch,tanya
safer,biztonságosabb
worn,kopott
crashing,összeomló
lands,föld
heather,hanga
ash,hamu
leather,Bőr
grounds,alapok
assuming,feltételezve
nails,köröm
dana,dána
conspiracy,összeesküvés
thanksgiving,hálaadás
pierre,Pierre
guardian,gyám
rumors,pletykák
yen,jen
megan,Megan
ashes,hamu
terror,terror
misunderstanding,félreértés
tire,gumi
boats,csónakok
parade,felvonulás
halt,Állj
immunity,immunitás
adults,felnőttek
steam,gőz
kang,kang
closely,szorosan
pearl,gyöngyszem
soccer,futball
adrian,Adrianus
priority,kiemelten fontos
shouts,kiáltás
donald,Donald
happier,boldogabb
khan,kán
struggling,küzdelem
root,gyökér
larger,nagyobb
november,november
boot,csomagtartó
conflict,konfliktus
laughed,nevetett
debbie,Debbie
cherry,cseresznye
honking,csiszoló
concerns,aggályok
celebration,ünneplés
sore,fájó
unconscious,öntudatlan
cattle,marha
breasts,mellek
fairly,meglehetősen
fee,díj
recognise,elismerik
wade,átgázol
radiation,sugárzás
holidays,ünnepek
raining,esőzés
forgetting,elfelejtés
lungs,tüdő
register,Regisztráció
shadows,árnyék
specifically,kimondottan
sarge,szarga
ideal,ideál
turtle,teknősbéka
spoil,zsákmány
deserved,megérdemelt
ronnie,Ronnie
gina,gina
candidate,jelölt
lance,lándzsa
types,típus
bloke,pasas
explode,felrobban
immediate,azonnali
belonged,tartozott
identified,azonosított
di,off
hunger,éhség
closest,legközelebbi
combination,kombináció
nanny,dajka
seth,seth
gabriel,Gabriel
develop,fejleszt
detectives,nyomozók
severe,szigorú
en,hüvelyes
organized,szervezett
franklin,franklin
gut,belek
splendid,pompás
dismissed,elutasított
pm,délután
yang,yang
halloween,halloween
ellie,Ellie
vulnerable,sebezhető
continued,folytatás
vital,létfontosságú
comrades,bajtársak
bureau,hivatal
drawer,rajzoló
harper,harper
retreat,visszavonulás
carson,Carson
benny,Benny
troy,Trója
ace,ász
cart,kocsi
nap,szundikál
chan,chan
ham,sonka
announce,bejelent
borrowed,kölcsönzött
parked,parkolt
galaxy,galaxis
voted,szavazott
muffled,tompított
sebastian,sebastianus
mmm-hmm,mmm-hmm
jewelry,ékszerek
kisses,Puszi
luggage,poggyász
groom,vőlegény
oops,lopog
lighter,öngyújtó
masters,mesterek
alliance,szövetség
buddies,barátok
clothing,ruházat
denied,megtagadta
drown,megfullad
alike,hasonló
excellency,kiválóság
relative,relatív
photographs,fényképek
burger,hamburger
dough,tészta
alicia,Alicia
wreck,roncs
approve,jóváhagy
produced,előállított
christina,Krisztina
physically,fizikailag
stations,állomások
eli,eli
samantha,Samantha
spiritual,lelki
sire,apa
roaring,ordítozó
stab,szúrás
inch,hüvelyk
servants,szolgák
limits,korlátok
unexpected,váratlan
arrival,érkezés
whimpering,nyüzsgő
basket,kosár
sheets,ágynemű
scandal,botrány
stink,bűz
homer,Homérosz
tara,Tara
christopher,Christopher
toes,lábujjak
shield,pajzs
shooter,vadász
instant,azonnali
objects,tárgyak
rehearsal,próba
disturbing,zavaró
directed,irányított
scan,letapogatás
electronic,elektronikus
republic,köztársaság
overnight,éjszakai
counsel,jogi képviselő
sirens,szirénák
dorothy,Dorothy
bait,csali
dignity,méltóság
explains,magyarázza
lean,sovány
heroin,heroin
tracy,tracy
rex,újság
barney,Barney
gossip,pletyka
humble,alázatos
economy,gazdaság
worlds,világok
impress,lenyűgöz
clara,Clara
tissue,szövet
threaten,fenyeget
et,ET
bump,ütődés
supreme,legfőbb
bingo,bingó
mitchell,Mitchell
excitement,izgalom
mankind,emberiség
document,dokumentum
broad,széles
vietnam,Vietnam
vessel,hajó
lit,megvilágított
dale,völgy
killers,gyilkos
connor,connor
mario,mario
foul,rossz
stare,bámul
deaths,halálozások
hut,kunyhó
elements,elemek
coma,kóma
laying,lefektetés
coffin,koporsó
paula,Paula
cocaine,kokain
puppy,kölyökkutya
louder,hangosabb
handled,kezelt
announcement,közlemény
oath,eskü
mob,csőcselék
cotton,pamut
deposit,letét
taxes,adók
injuries,sérülések
jen,jen
autopsy,boncolás
advise,tanácsol
gig,koncert
lecture,előadás
posted,közzétett
skinny,sovány
lo,lo
include,tartalmaz
revealed,kinyilatkoztatott
infected,fertőzött
relieved,megkönnyebbült
assistance,támogatás
solo,szóló
determine,meghatároz
terrorists,terroristák
elsewhere,máshol
lamp,lámpa
practical,gyakorlati
marked,megjelölt
adorable,imádni való
rubber,radír
purple,lila
operating,üzemeltetési
suite,lakosztály
apologies,bocsánat
personnel,személyzet
beam,gerenda
poet,költő
samples,minták
arrow,nyíl
counselor,tanácsadó
carpet,szőnyeg
allen,allen
audrey,Audrey
spotted,észlelve
floating,úszó
corrected,javított
located,elhelyezkedő
journalist,újságíró
insisted,ragaszkodott
operator,operátor
rely,támaszkodni
singh,singh
fooled,becsapott
arrives,Megérkezik
i.d.,I.D.
leon,Leon
walt,sóvárog
eastern,keleti
ay,igen
shave,borotválkozás
remaining,többi
toss,dobás
anderson,Anderson
lip,ajak
acid,sav
nora,Nora
si,SI
december,december
anonymous,névtelen
inn,fogadó
planted,beültetett
oldest,legrégebbi
breast,mell
sixth,hatodik
error,hiba
reporting,jelentés
egypt,Egyiptom
islands,szigetek
brother-in-law,Sógor
jules,jules
roommate,szobatárs
sings,énekel
scum,hab
visitor,látogató
giggling,kuncogó
described,leírt
geez,geez
inches,hüvelyk
commitment,elkötelezettség
hercules,Herkules
react,reagál
cows,tehenek
protest,tiltakozás
misery,szenvedés
theft,lopás
embrace,ölelés
darn,stoppol
harsh,durva
andrea,Andrea
communicate,kommunikálni
fathers,apák
faithful,hűséges
hector,Hector
uh-uh,uh-uh
flame,láng
medal,érem
silk,selyem
photographer,fotós
trevor,Trevor
cemetery,temető
rear,hátulsó
freddy,ferde
banana,banán
allison,allison
emotion,érzelem
chap,pasas
dated,keltezett
excuses,kifogások
shitty,szar
bin,kuka
jew,zsidó
gum,gumi
crushed,összetört
efforts,erőfeszítések
content,tartalom
corporal,tizedes
realised,megvalósult
del,del
rap,rap
hopeless,reménytelen
debate,vita
era,korszak
luckily,szerencsére
ton,tonna
liquid,folyékony
swell,dagad
peggy,Peggy
feast,ünnep
murphy,murfy
attracted,vonzott
application,Alkalmazás
profession,szakma
bench,pad
vanessa,Vanessa
ahem,hé
symptoms,tünetek
scout,cserkész
crashed,összeomlott
keen,lelkes
aircraft,repülőgép
formed,alakított
hon,tisztelőkészülék
aggressive,agresszív
pale,sápadt
significant,jelentős
duncan,duncan
clubs,klubok
visual,vizuális
embassy,nagykövetség
defence,védelem
cabinet,szekrény
display,kijelző
fame,hírnév
gibbs,gibbs
drowned,megfulladt
wolves,farkasok
filming,film forgatás
cursed,átkozott
twin,iker
sorrow,bánat
vault,boltozat
defeated,legyőzött
watson,Watson
quote,idézet
penalty,büntetés
bargain,alku
pepper,bors
speaker,hangszóró
compare,összehasonlít
satan,Sátán
helmet,sisak
scar,sebhely
copies,másolatok
fuss,fontoskodás
envelope,boríték
perry,körtebor
stinks,büdös
african,afrikai
arrangements,megállapodások
wished,vágyott
honored,megbecsült
believing,hívő
discussed,megvitatott
assigned,kijelölt
rosa,rosa
oven,sütő
jenna,Jenna
attacking,támadó
tin,ón
sonic,szonikus
collar,gallér
mere,puszta
romeo,Rómeó
belief,hit
storage,tárolás
rusty,rozsdás
psycho,pszicho
climbing,mászó
melissa,méhfű
fears,félelem
sum,összeg
dedicated,dedikált
ladder,létra
alternative,alternatív
raid,rajtaütés
dining,étkezés
ms,Kisasszony
corporate,társasági
folk,népi
jon,Jon
replaced,helyettesített
bailey,bailey
un,ENSZ
heels,sarok
duties,feladat
smarter,okosabb
existed,létezett
surprising,meglepő
chess,sakk
requested,kért
cruise,hajókázás
primary,elsődleges
rhythm,ritmus
drum,dob
models,modellek
motorcycle,motorbicikli
adopted,fogadott
barrel,hordó
cargo,szállítmány
planets,bolygók
shove,lök
wha,WHA
surprises,meglepetés
rosie,Rosie
dings,dings
trailer,filmelőzetes
cannon,ágyú
tables,asztalok
arse,szamár
ally,szövetséges
lawrence,Lawrence
wee,pici
tapes,szalagok
dull,unalmas
sandra,Sandra
kent,Kent
cooperate,együttműködik
risks,kockázatok
dug,ásta
worthless,értéktelen
arriving,érkező
kindness,kedvesség
ties,kötés
items,tárgyak
and-,és-
grip,markolat
relations,kapcsolatok
rumor,szóbeszéd
skirt,szoknya
frog,béka
paige,pamid
lloyd,Lloyd
claimed,igényelt
perfume,parfüm
instrumental,hangszeres
flames,Lángok
association,Egyesület
loses,vesztes
january,január
spike,tüske
israel,Izrael
eleven,tizenegy
gallery,Képtár
ginger,gyömbér
activities,tevékenységek
iraq,Irak
boarding,beszállás
fist,ököl
stuffed,töltött
improve,javít
creation,Teremtés
connie,Connie
infection,fertőzés
strikes,sztrájk
wiped,megsemmisített
tension,feszültség
whistles,síp
kindly,kedvesen
certificate,bizonyítvány
curtis,curtis
bold,bátor
threats,fenyegetés
claudia,Claudia
sid,side
twisted,csavart
suspended,felfüggesztett
affected,érintett
envy,irigység
whale,bálna
dial,tárcsa
cameron,Cameron
martial,harcias
controlled,ellenőrzött
lung,tüdő
nigga,nigga
coal,szén
upside,felfelé forduló
imperial,császári
pam,pam
paranoid,paranoid
signing,aláírás
congress,Kongresszus
villa,villa
candles,gyertyák
filling,töltő
becky,becsapott
comic,komikus
faint,elájul
recovery,felépülés
volunteer,önkéntes
tech,műszaki
bleed,vérzik
positions,helyzet
cindy,cindy
narrow,keskeny
forbid,tilt
stuart,stuart
perspective,perspektíva
faced,arcú
neat,tiszta
pierce,átszúr
observe,megfigyel
cycle,ciklus
psychic,lelki
handling,kezelése
goose,liba
accidentally,véletlenül
conclusion,következtetés
designer,tervező
sits,ül
importance,fontosság
spots,helyek
francs,frank
sweep,söprés
destroying,elpusztító
communist,kommunista
blackmail,zsarolás
pacific,békés
risky,kockázatos
glorious,dicső
filed,benyújtott
hatred,gyűlölet
cam,bütyök
deals,ügylet
pos,pozíció
fooling,bolondság
persons,személyek
scotch,skót
executed,végrehajtott
brakes,fékez
blank,üres
tender,pályázati kiírás
kurt,kurta
turner,esztergályos
tub,kád
sucker,szívó
slight,enyhe
addition,kiegészítés
