"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","score1","score2","score3","score4","score5"
5.8,0.15,0.28,0.80,0.037,43,127,0.99198,3.24,0.51,9.3,4,5,4,3,5
6.6,0.23,0.29,16.30,0.057,-,144,0.99756,3.33,0.54,10.2,6,6,5,6,7
7.15,0.17,0.24,10.87,0.119,56,178,0.99578,3.15,0.44,10.2,5,6,8,6,6
7,0.34,0.39,6.90,0.066,-,-,0.99561,3.11,0.53,9.5,3,3,5,6,4
6.4,0.68,0.26,3.40,0.069,25,146,0.99347,3.18,0.4,9.3,4,2,4,4,4
7.3,0.22,0.31,7.64,0.018,45,80,0.98936,3.06,0.34,12.9,9,7,8,9,6
6.4,0.28,0.27,12.21,0.042,-,148,0.99786,3.14,0.46,8.7,5,4,5,4,2
6.9,0.4,0.22,7.02,0.081,-,303,0.99705,3.4,0.57,9.4,5,4,6,2,4
6.8,0.19,0.23,5.10,0.034,-,204,0.9942,3.23,0.69,10.1,3,3,3,3,4
7.1,0.23,0.24,5.40,0.039,60,196,0.9948,3.19,0.78,10,4,3,2,1,1
6.45,0.14,0.42,5.21,0.05,-,129,0.99116,3.27,0.69,11.1,8,8,8,9,7
6.5,0.15,0.44,16.04,0.052,-,158,0.99688,3.26,0.7,10.3,8,8,9,9,6
7.1,0.15,0.34,3.33,0.033,27,73,0.98974,3.24,0.41,12.2,7,3,7,6,6
6.7,0.33,0.34,6.60,0.067,35,-,0.99542,3.11,0.48,9.3,3,6,6,5,7
7.2,0.3,0.26,3.48,0.041,-,178,0.99154,3.19,0.56,11.3,6,5,6,6,7
7,0.23,0.33,3.46,0.043,46,110,0.99118,3.04,0.65,10.8,7,8,5,6,6
8,0.13,0.25,7.65,0.033,15,-,0.99044,2.98,0.39,11.2,9,9,9,9,9
6.2,0.21,0.34,9.90,0.03,36,91,0.9914,3.32,0.45,12.5,8,7,8,7,9
8.3,0.4,0.41,8.20,0.05,-,-,0.9979,3.39,0.49,9.3,3,3,3,4,3
5.9,0.34,0.31,6.08,0.03,-,142,0.98892,3.4,0.41,12.9,8,9,8,8,7
6.6,0.12,0.25,2.92,0.039,21,131,0.99114,3.2,0.45,11.2,6,7,9,8,8
9.6,0.655,0.21,5.29,0.039,21,120,0.99188,3,1,12.6,7,7,6,7,6
6.8,0.26,0.4,7.56,0.046,-,-,0.99583,3.2,0.49,9.3,4,3,5,4,5
5.9,0.34,0.31,5.91,0.03,-,142,0.98892,3.4,0.41,12.9,8,7,8,9,7
5.9,0.3,0.3,5.70,0.03,38,142,0.98892,3.41,0.41,12.9,8,7,9,7,9
7,0.15,0.3,16.52,0.049,46,120,0.99704,3.2,0.36,9.5,8,7,9,8,9
7.9,0.37,0.31,4.77,0.037,5,24,0.9911,3.19,0.36,11.9,6,7,6,6,7
7.2,0.35,0.25,10.83,0.032,-,120,0.99334,2.93,0.66,10.3,9,8,9,8,7
7.2,0.32,0.24,9.14,0.033,23,120,0.99334,2.92,0.66,10.3,8,7,8,8,7
7.6,0.1,0.33,3.98,0.031,33,93,0.99094,3.06,0.68,11.2,7,5,4,6,5
6.2,0.25,0.31,4.10,0.03,-,150,0.99014,3.18,0.31,12,5,6,6,4,7
7.1,0.31,0.17,2.89,0.042,-,144,0.99304,3.13,0.4,9.6,6,3,4,4,5
7.6,0.18,0.28,8.99,0.041,29,-,0.99652,3.2,0.42,9.2,6,6,6,6,7
8,0.17,0.29,4.65,0.029,52,119,0.98944,3.03,0.33,12.9,6,7,6,6,5
7.2,0.19,0.27,13.33,0.061,46,149,0.99772,2.99,0.59,9.3,6,8,6,7,8
7.6,0.32,0.25,11.74,0.03,15,136,0.99367,3.1,0.44,12.1,6,7,7,6,7
7.1,0.31,0.17,1.74,0.042,21,144,0.99304,3.13,0.4,9.6,5,4,5,4,4
6.6,0.21,0.29,2.54,0.026,35,128,0.99183,3.37,0.48,11.2,5,5,5,7,7
7,0.16,0.36,6.08,0.029,28,98,0.99126,3.11,0.37,11.2,8,9,8,9,9
8,0.17,0.29,4.58,0.029,-,119,0.98944,3.03,0.33,12.9,6,5,5,6,5
6.6,0.24,0.38,8.14,0.042,56,187,0.99577,3.21,0.46,9.2,4,3,4,4,5
7.2,0.19,0.27,14.26,0.061,-,-,0.99772,2.99,0.59,9.3,7,4,6,5,7
7.6,0.18,0.28,8.44,0.041,-,110,0.99652,3.2,0.42,9.2,6,4,6,4,7
6.9,0.3,0.25,6.23,0.041,26,124,0.99428,3.18,0.5,9.3,7,7,6,6,4
6.2,0.28,0.27,12.55,0.03,26,108,0.99388,3.2,0.36,10.7,6,6,5,7,4
6.9,0.31,0.32,3.20,0.024,-,166,0.99208,3.05,0.54,9.8,6,6,4,8,4
6.7,0.23,0.25,2.50,0.036,28,143,0.99256,3.3,0.54,10.3,5,5,5,6,7
6.2,0.28,0.27,12.00,0.03,26,108,0.99388,3.2,0.36,10.7,6,6,7,4,6
5.7,0.23,0.28,11.20,0.025,26,-,0.9925,3.28,0.38,11.3,6,4,6,5,7
6.5,0.22,0.5,18.20,0.048,-,182,0.99904,3.02,0.49,8.8,6,5,6,7,7
7,0.18,0.37,2.33,0.043,16,104,0.99216,3.18,0.5,10.8,5,4,7,4,4
6.9,0.31,0.32,2.87,0.024,20,166,0.99208,3.05,0.54,9.8,6,6,5,5,7
6.9,0.3,0.25,6.27,0.041,26,124,0.99428,3.18,0.5,9.3,7,8,5,6,4
6.5,0.46,0.31,10.37,0.027,-,72,0.99165,3.26,0.6,11.5,9,7,7,8,8
6.5,0.23,0.36,16.30,0.038,43,133,0.99924,3.26,0.41,8.8,3,3,2,4,4
6.5,0.23,0.36,16.60,0.038,43,133,0.99924,3.26,0.41,8.8,4,2,3,5,3
6.5,0.23,0.36,16.30,0.038,43,133,0.99924,3.26,0.41,8.8,4,4,3,4,6
6.6,0.26,0.38,8.72,0.17,68,201,0.9956,3.19,0.38,9.4,6,5,5,7,6
6.7,0.26,0.39,9.48,0.171,-,200,0.99562,3.19,0.38,9.4,7,7,6,5,7
7.5,0.28,0.39,11.72,0.045,59,209,0.9972,3.16,0.63,9.6,6,8,5,6,7
6.5,0.23,0.36,16.30,0.038,43,-,0.99924,3.26,0.41,8.8,3,2,4,6,3
6.8,0.23,0.42,8.49,0.044,-,-,0.9958,3.22,0.48,9.3,5,6,7,7,6
7.8,0.25,0.34,13.70,0.044,66,184,0.99976,3.22,0.75,8.9,3,3,4,3,5
7.8,0.25,0.34,13.88,0.044,-,184,0.99976,3.22,0.75,8.9,4,5,3,4,4
5.6,0.2,0.22,1.30,0.049,25,155,0.99296,3.74,0.43,10,3,5,5,4,6
6.4,0.21,0.44,7.88,0.045,47,182,0.9957,3.24,0.46,9.1,4,5,3,4,4
6.8,0.23,0.42,9.11,0.044,56,189,0.9958,3.22,0.48,9.3,6,5,6,8,6
6.8,0.24,0.37,8.87,0.043,59,188,0.99579,3.2,0.5,9.4,6,5,6,8,6
7.8,0.25,0.28,8.14,0.04,-,-,0.99541,3.14,0.6,10.1,5,8,6,5,5
7.8,0.25,0.34,14.64,0.044,-,184,0.99976,3.22,0.75,8.9,5,3,5,5,5
6.8,0.16,0.29,11.87,0.046,-,143,0.99518,3.2,0.4,10.8,6,5,6,5,5
5.2,0.28,0.29,3.15,0.028,18,69,0.99168,3.24,0.54,10,6,6,8,6,5
7.5,0.18,0.31,9.35,0.029,53,160,0.99276,3.03,0.38,10.9,7,5,5,5,6
7.5,0.26,0.3,7.44,0.027,-,92,0.99085,3.15,0.38,12,7,7,9,8,7
8.2,0.37,0.64,15.53,0.043,22,171,0.99873,2.99,0.8,9.3,6,5,1,4,3
7.6,0.4,0.27,7.48,0.03,-,-,0.99172,3.22,0.62,12.3,7,7,9,9,7
7.5,0.26,0.25,4.48,0.038,29,129,0.99312,3.45,0.56,10.4,7,9,5,5,8
7.5,0.18,0.31,6.66,0.029,53,160,0.99276,3.03,0.38,10.9,4,6,6,5,5
6.9,0.23,0.32,16.40,0.045,62,-,0.9972,3.22,0.42,10.5,2,3,5,6,4
5.3,0.2,0.31,6.25,0.036,-,91,0.99278,3.41,0.5,9.8,7,7,7,7,8
6.5,0.17,0.31,3.99,0.041,34,121,0.99092,3.06,0.46,10.5,7,7,5,5,5
6.5,0.35,0.28,13.52,0.051,86,213,0.9962,3.16,0.51,9.9,5,6,6,7,6
6.5,0.29,0.31,3.90,0.035,24,-,0.99053,3.27,0.69,11.4,7,7,7,8,8
6.8,0.3,0.22,6.20,0.06,41,190,0.99858,3.18,0.51,9.2,3,4,4,3,4
7.9,0.51,0.36,6.20,0.051,30,-,0.9984,3.09,0.53,9.7,3,4,3,2,4
7.9,0.51,0.34,2.60,0.049,13,135,0.99335,3.09,0.51,10,4,4,3,2,4
6.5,0.29,0.31,5.92,0.035,24,79,0.99053,3.27,0.69,11.4,9,8,8,9,9
7.1,0.29,0.28,9.96,0.048,50,141,0.9949,3.13,0.49,10.3,5,7,6,4,6
6.5,0.35,0.28,13.74,0.051,86,-,0.9962,3.16,0.51,9.9,6,6,6,6,7
6.5,0.17,0.31,3.96,0.041,34,121,0.99092,3.06,0.46,10.5,7,6,5,5,6
7.4,0.2,0.28,13.80,0.047,29,-,0.99532,3.16,0.47,9.8,9,9,8,5,9
6.9,0.615,0.42,12.95,0.067,24,131,0.99727,3.19,0.34,9.3,5,5,4,7,3
6.8,0.32,0.28,9.29,0.034,25,100,0.99026,3.08,0.47,12.4,9,9,9,9,6
6.3,0.2,0.19,14.71,0.048,54,145,0.99668,3.16,0.42,9.3,7,6,6,5,5
6.9,0.615,0.42,13.40,0.067,24,131,0.99727,3.19,0.34,9.3,5,4,4,4,5
8,0.23,0.28,2.70,0.048,49,165,0.9952,3.26,0.72,9.5,4,4,7,6,7
6.7,0.27,0.33,5.92,0.034,9,45,0.99144,3.08,0.4,10.5,7,6,6,4,6
6.7,0.27,0.33,4.65,0.034,9,45,0.99144,3.08,0.4,10.5,5,4,4,6,5
6.7,0.44,0.22,6.96,0.032,19,-,0.99015,3.26,0.53,12.8,7,8,9,7,9
7,0.34,0.3,5.08,0.045,44,142,0.9914,2.99,0.45,10.8,7,6,7,7,6
7.3,0.26,0.33,13.29,0.057,-,-,0.99693,3.1,0.55,10,6,9,9,7,6
5.8,0.17,0.34,7.29,0.045,-,170,0.99035,3.38,0.9,11.8,9,9,9,9,9
7.3,0.26,0.33,14.48,0.057,-,127,0.99693,3.1,0.55,10,7,6,7,4,6
5.8,0.17,0.34,7.28,0.045,-,170,0.99035,3.38,0.9,11.8,9,9,9,9,9
6.8,0.17,0.36,3.53,0.036,38,108,0.99006,3.19,0.66,12,6,6,6,7,7
7.1,0.43,0.3,8.89,0.025,-,138,0.99126,3.18,0.46,12.6,6,7,5,6,6
5.8,0.315,0.27,6.12,0.026,-,70,0.98994,3.37,0.4,11.9,9,9,9,9,9
5.9,0.17,0.28,1.19,0.027,5,28,0.98985,3.13,0.32,10.6,4,4,2,4,3
6.6,0.34,0.18,8.29,0.082,47,240,0.9971,3.42,0.48,9.2,6,4,4,4,5
8.6,0.33,0.34,12.42,0.059,42,240,0.99882,3.17,0.52,10,5,4,8,6,7
5.6,0.12,0.26,4.64,0.038,18,97,0.99477,3.36,0.46,9.2,4,5,5,2,4
5.8,0.13,0.26,6.76,0.039,19,103,0.99478,3.36,0.47,9.3,6,6,7,6,6
7.7,0.18,0.35,7.83,0.055,25,-,0.99576,3.24,0.54,10.2,6,5,6,6,5
7.7,0.16,0.36,7.61,0.054,25,148,0.99578,3.25,0.54,10.2,6,7,6,5,6
6,0.26,0.15,1.30,0.06,51,154,0.99354,3.14,0.51,8.7,4,3,3,3,5
7.3,0.32,0.35,1.53,0.05,8,163,0.99244,3.24,0.42,10.7,4,4,5,4,2
7.7,0.3,0.34,1.60,0.048,4,119,0.99084,3.18,0.34,12.1,5,6,4,6,7
7.9,0.16,0.3,10.34,0.05,58,152,0.99612,3.12,0.37,9.5,7,5,6,6,5
6.4,0.27,0.29,12.79,0.028,17,118,0.99356,3.18,0.37,11.2,6,8,6,7,4
6.9,0.16,0.37,3.13,0.034,36,95,0.98952,2.93,0.59,12,6,5,7,7,5
7.9,0.16,0.3,9.58,0.05,58,-,0.99612,3.12,0.37,9.5,6,6,7,7,6
7.7,0.3,0.34,3.75,0.048,4,119,0.99084,3.18,0.34,12.1,7,6,5,5,5
7.3,0.32,0.35,1.40,0.05,-,163,0.99244,3.24,0.42,10.7,3,4,4,3,5
6.4,0.44,0.44,18.99,0.048,29,228,0.99955,3.26,0.54,8.8,9,8,9,7,7
6.3,0.2,0.24,1.74,0.052,36,135,0.99374,3.8,0.66,10.8,4,6,6,6,6
6.2,0.29,0.32,6.79,0.026,39,138,0.9892,3.31,0.37,13.1,8,9,8,9,7
7.6,0.39,0.32,7.26,0.035,-,93,0.99144,3.08,0.6,12.5,8,7,8,9,8
7,0.36,0.32,16.05,0.045,-,131,0.99352,3.09,0.33,11.7,9,9,9,9,9
7,0.36,0.32,17.98,0.045,-,131,0.99352,3.09,0.33,11.7,9,9,9,9,8
7,0.36,0.32,14.45,0.045,35,135,0.9935,3.09,0.33,11.6,9,9,9,9,9
7.6,0.2,0.36,2.67,0.043,24,111,0.99237,3.29,0.54,11.3,5,6,6,6,5
7.6,0.39,0.32,6.56,0.035,22,93,0.99144,3.08,0.6,12.5,7,9,8,8,8
6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,4,2,4,3,5
6.2,0.235,0.34,2.75,0.036,4,-,0.99032,3.4,0.44,12.2,5,3,5,4,3
7.8,0.965,0.6,66.86,0.074,-,160,1.03898,3.39,0.69,11.7,5,7,6,7,6
7.1,0.2,0.31,7.98,0.053,32,211,0.99587,3.31,0.59,10.4,5,5,6,7,7
7.1,0.2,0.31,8.65,0.053,32,211,0.99587,3.31,0.59,10.4,5,6,6,5,5
7.1,0.2,0.31,9.99,0.053,32,211,0.99587,3.31,0.59,10.4,7,5,7,5,5
6.4,0.24,0.25,20.20,0.083,35,157,0.99976,3.17,0.5,9.1,4,3,4,5,3
8,0.3,0.36,12.30,0.034,8,70,0.99354,3.05,0.41,12.2,6,6,7,6,5
6.4,0.24,0.25,20.35,0.083,35,157,0.99976,3.17,0.5,9.1,4,4,5,3,5
6.9,0.4,0.42,6.87,0.066,41,-,0.99552,3.12,0.54,9.4,5,3,4,4,4
6.9,0.4,0.43,6.76,0.065,42,178,0.99552,3.11,0.53,9.4,5,3,4,5,6
7.1,0.2,0.31,9.70,0.053,32,211,0.99587,3.31,0.59,10.4,7,4,6,5,4
6.6,0.25,0.51,8.11,0.047,-,189,0.99604,3.22,0.49,9.2,4,4,4,6,5
6.8,0.26,0.44,8.47,0.046,52,-,0.99584,3.2,0.51,9.4,4,4,4,2,4
6.5,0.37,0.3,5.08,0.033,-,-,0.98894,3.22,0.53,13.5,7,8,9,8,9
6.8,0.35,0.53,10.99,0.053,37,151,0.9963,3.07,0.4,9.4,5,3,4,2,5
6.4,0.22,0.32,13.48,0.028,15,83,0.993,3.13,0.55,10.9,9,9,9,9,9
6.5,0.37,0.3,3.10,0.033,39,107,0.98894,3.22,0.53,13.5,5,8,8,8,8
6.8,0.35,0.53,10.10,0.053,-,151,0.9963,3.07,0.4,9.4,3,3,3,4,5
6.9,0.31,0.32,5.55,0.036,34,114,0.99068,3.19,0.45,11.4,8,9,9,9,6
6.7,0.16,0.37,5.40,0.036,45,125,0.98964,3.19,0.51,12.4,9,7,7,8,6
6.6,0.25,0.51,8.61,0.047,61,-,0.99604,3.22,0.49,9.2,5,6,4,3,4
6.8,0.26,0.44,8.20,0.046,-,-,0.99584,3.2,0.51,9.4,4,4,4,4,4
5.6,0.15,0.31,6.94,0.038,8,79,0.9923,3.3,0.39,10.5,6,6,6,5,6
5.5,0.15,0.32,19.72,0.031,16,99,0.99437,3.26,0.38,11.5,9,9,9,9,9
6.4,0.22,0.32,12.04,0.028,15,83,0.993,3.13,0.55,10.9,9,8,9,9,9
7.3,0.2,0.26,3.04,0.04,36,123,0.99238,3.34,0.44,10.8,6,5,5,4,5
7.5,0.17,0.71,11.98,0.038,52,148,0.99801,3.03,0.46,8.9,4,4,4,3,6
7.5,0.18,0.72,9.60,0.039,53,151,0.99802,3.03,0.46,8.9,3,2,3,5,5
7,0.27,0.48,6.91,0.042,60,184,0.99566,3.2,0.5,9.4,5,5,7,7,5
5.8,0.32,0.31,6.46,0.049,25,153,0.99067,3.44,0.73,12.2,8,7,8,8,9
7.8,0.26,0.31,7.81,0.025,22,100,0.99066,2.99,0.47,12.1,9,7,8,9,7
7.4,0.3,0.32,2.48,0.03,23,128,0.9929,3.17,0.66,10.9,5,6,6,3,5
6.7,0.16,0.34,2.79,0.026,27,-,0.9934,3.34,0.58,10.1,5,7,6,6,7
5.8,0.32,0.31,5.00,0.049,25,153,0.99067,3.44,0.73,12.2,7,9,9,7,8
6.7,0.19,0.39,3.66,0.032,14,71,0.98912,3.31,0.38,13,7,9,7,7,7
6.6,0.36,0.24,1.79,0.038,15,72,0.99066,3.23,0.39,11,5,5,2,5,6
7.2,0.17,0.41,1.85,0.052,24,126,0.99228,3.19,0.49,10.8,4,4,4,4,4
6.7,0.19,0.39,4.08,0.032,14,71,0.98912,3.31,0.38,13,7,5,8,9,8
6,0.11,0.47,10.60,0.052,69,148,0.9958,2.91,0.34,9.3,4,1,2,3,3
6,0.21,0.34,2.77,0.042,-,123,0.99052,3.44,0.42,11.4,5,7,6,4,7
6.7,0.325,0.82,2.96,0.152,49,-,0.99312,2.99,0.38,9.2,6,5,6,2,3
6.6,0.4,0.46,6.20,0.056,42,241,0.9968,3.5,0.6,9.9,2,4,3,2,5
6.5,0.2,0.24,9.72,0.044,25,-,0.99502,3.22,0.44,10.5,5,5,2,3,4
7.6,0.27,0.34,5.00,0.04,18,56,0.99084,3.06,0.48,12.4,4,6,7,6,4
7.2,0.26,0.4,10.26,0.047,52,172,0.99573,3.18,0.53,9.5,8,5,6,7,6
6.3,0.25,0.22,4.19,0.048,-,161,0.99256,3.16,0.5,10.5,5,6,5,6,4
6.5,0.22,0.45,11.36,0.053,52,196,0.9959,3.23,0.48,9.1,8,6,6,6,7
6.4,0.14,0.31,6.15,0.034,53,-,0.99084,3.38,0.35,11.5,9,9,8,9,7
6.4,0.14,0.31,3.97,0.034,53,138,0.99084,3.38,0.35,11.5,7,7,7,9,7
7.1,0.26,0.32,16.49,0.044,31,170,0.99644,3.17,0.37,11.2,4,4,3,5,4
6.6,0.22,0.34,11.60,0.05,59,140,0.99526,3.22,0.4,10.8,3,3,3,5,3
6.6,0.45,0.43,7.20,0.064,-,186,0.9954,3.12,0.44,9.4,3,6,4,3,4
6.6,0.17,0.3,5.76,0.031,13,-,0.99095,3.17,0.58,11,9,5,5,7,7
7.2,0.44,0.28,7.77,0.048,-,112,0.99188,3.21,0.37,11.3,9,7,7,6,9
6.2,0.15,0.27,2.85,0.041,51,117,0.9909,3.28,0.38,11.2,6,6,6,5,7
6.3,0.25,0.22,4.06,0.048,41,161,0.99256,3.16,0.5,10.5,5,7,6,6,8
6.5,0.22,0.45,9.19,0.053,52,196,0.9959,3.23,0.48,9.1,5,8,7,6,6
7.3,0.26,0.3,12.39,0.05,35,154,0.99581,3.21,0.5,10.4,7,7,6,6,7
6.9,0.15,0.29,5.91,0.033,14,82,0.99132,3.1,0.58,11.2,8,6,8,8,8
5.8,0.22,0.29,3.77,0.034,-,89,0.98936,3.14,0.36,11.1,7,9,8,7,8
6.5,0.37,0.33,5.68,0.036,23,92,0.99136,3.18,0.38,11.2,6,5,7,8,6
5.5,0.375,0.38,2.78,0.036,17,98,0.99142,3.29,0.39,10.5,5,5,4,6,7
5.9,0.2,0.4,3.81,0.047,23,92,0.99232,3.2,0.45,10,7,7,5,7,5
5.9,0.22,0.38,3.27,0.046,-,90,0.99232,3.2,0.47,10,6,7,6,7,6
8,0.22,0.31,5.60,0.049,24,97,0.993,3.1,0.42,10.9,3,3,5,1,3
6.5,0.22,0.29,12.15,0.028,16,87,0.99311,3.15,0.56,10.9,9,6,8,7,7
6.9,0.15,0.29,5.70,0.033,14,82,0.99132,3.1,0.58,11.2,8,8,7,8,8
5.8,0.2,0.34,1.00,0.035,-,86,0.98993,3.5,0.42,11.7,4,5,4,3,5
6.6,0.31,0.07,1.50,0.033,-,144,0.99208,3.16,0.42,10,4,4,2,4,5
7.7,0.43,0.37,10.32,0.169,22,-,0.99776,3.02,0.64,9.5,4,5,2,4,5
6.7,0.24,0.29,16.14,0.053,-,136,0.99839,3.03,0.52,9,5,3,3,3,3
7.3,0.23,0.34,9.30,0.052,19,86,0.99574,3.04,0.56,10,3,5,1,4,3
7.9,0.2,0.39,1.00,0.041,37,154,0.99093,3.08,0.43,11.9,3,5,8,4,4
5.3,0.16,0.39,3.48,0.028,-,101,0.99156,3.57,0.59,10.6,7,5,4,5,5
6.4,0.21,0.28,6.72,0.047,-,101,0.99278,3.15,0.4,11,5,5,6,6,5
6.9,0.33,0.26,8.13,0.027,46,-,0.9924,3.25,0.43,11.2,8,9,7,7,8
5.6,0.18,0.58,5.93,0.034,29,129,0.98984,3.51,0.6,12,9,9,8,6,8
6.6,0.29,0.31,10.67,0.027,39,96,0.99035,3.24,0.6,12.6,9,9,9,9,9
6.9,0.33,0.26,7.53,0.027,46,143,0.9924,3.25,0.43,11.2,7,8,7,8,9
6.6,0.21,0.36,1.50,0.034,48,113,0.99165,3.24,0.68,10.5,5,5,5,7,6
7.3,0.21,0.33,2.12,0.037,66,144,0.9923,3.11,0.52,10.2,5,5,7,7,9
6.4,0.21,0.28,8.43,0.047,29,101,0.99278,3.15,0.4,11,7,5,4,6,7
5.1,0.11,0.32,3.30,0.028,12,90,0.99008,3.57,0.52,12.2,6,7,7,6,7
6.5,0.15,0.32,5.14,0.036,19,76,0.98964,3.18,0.41,12.3,8,8,7,8,5
5.3,0.16,0.39,2.72,0.028,40,101,0.99156,3.57,0.59,10.6,6,8,6,6,4
5.6,0.19,0.46,5.03,0.032,33,-,0.9909,3.36,0.5,10.4,8,7,5,5,6
5.6,0.18,0.58,4.75,0.034,29,129,0.98984,3.51,0.6,12,8,8,9,8,8
6.7,0.48,0.32,6.02,0.021,22,121,0.9889,3.15,0.53,12.7,9,8,7,8,7
6.2,0.23,0.23,1.20,0.018,18,128,0.99178,3.05,0.28,10.6,3,3,5,4,4
6,0.17,0.29,6.73,0.028,25,108,0.99076,3.14,0.34,12.3,6,6,6,5,8
6.7,0.48,0.32,6.83,0.021,22,121,0.9889,3.15,0.53,12.7,9,9,9,9,9
6.7,0.15,0.38,4.03,0.037,20,84,0.99046,3.09,0.53,11.4,7,7,6,3,6
4.2,0.17,0.36,5.88,0.029,93,161,0.98999,3.65,0.89,12,8,9,9,8,7
5.8,0.21,0.32,8.06,0.045,38,95,0.98946,3.23,0.94,12.4,9,9,9,9,9
5.4,0.23,0.36,7.73,0.03,-,121,0.98976,3.24,0.99,12.1,9,8,7,8,7
6.7,0.15,0.38,2.80,0.037,20,84,0.99046,3.09,0.53,11.4,5,5,7,7,4
6.4,0.22,0.31,13.90,0.04,57,135,0.99672,3.21,0.38,10.7,3,5,7,5,4
6.5,0.15,0.55,6.51,0.045,-,162,0.99482,2.97,0.4,9.3,5,4,4,3,5
5.9,0.32,0.33,5.06,0.027,35,138,0.98945,3.37,0.42,12.7,7,7,5,5,5
5.7,0.37,0.3,3.53,0.029,24,-,0.98883,3.18,0.39,11.7,7,6,7,5,7
7.9,0.25,0.35,8.07,0.039,-,-,0.99362,2.93,0.49,10.7,5,1,5,4,5
7.2,0.21,0.28,7.19,0.033,38,94,0.99075,2.99,0.43,11.8,9,9,9,7,7
7,0.24,0.3,7.17,0.039,37,-,0.99436,3.2,0.39,9.9,4,3,5,5,2
6.8,0.475,0.33,7.19,0.047,16,81,0.98988,3.23,0.53,13.4,8,8,8,8,8
7,0.28,0.32,10.30,0.032,30,114,0.99158,3.12,0.64,12.8,7,9,7,9,8
6.9,0.4,0.3,13.98,0.033,-,87,0.99265,3.15,0.45,12.8,8,5,6,6,6
6.6,0.41,0.31,1.60,0.042,-,101,0.99195,3.13,0.41,10.5,4,5,5,5,3
6.4,0.2,0.28,2.50,0.032,24,84,0.99168,3.31,0.55,11.5,4,4,5,3,3
8.5,0.22,0.34,0.70,0.04,5,25,0.9918,3.04,0.37,10.5,2,2,4,2,1
8.4,0.36,0.36,12.96,0.032,21,-,0.99313,2.95,0.39,13,6,6,6,7,7
5.2,0.285,0.29,11.89,0.035,64,-,0.9895,3.19,0.34,12.4,9,8,9,9,9
6.9,0.2,0.3,6.00,0.041,40,148,0.9932,3.16,0.35,10.2,6,7,6,6,6
6.7,0.42,0.46,9.70,0.054,67,234,0.99848,3.23,0.5,9,3,6,5,4,5
6.2,0.16,0.34,4.82,0.038,85,153,0.9909,3.33,0.86,12,8,6,8,9,8
6.4,0.125,0.36,6.06,0.044,22,68,0.99014,3.15,0.5,11.7,9,8,9,9,8
6.4,0.44,0.26,2.51,0.054,20,180,0.9952,3.58,0.57,10,5,5,3,5,4
7,0.31,0.39,7.50,0.055,42,218,0.99652,3.37,0.54,10.3,2,5,4,6,5
6.7,0.42,0.46,9.98,0.054,67,234,0.99848,3.23,0.5,9,4,4,4,5,2
8.6,0.18,0.28,1.01,0.032,25,78,0.99104,2.99,0.38,11.1,4,6,5,4,5
6.2,0.21,0.26,13.10,0.05,-,150,0.99772,3.31,0.46,9,3,3,2,4,5
6.1,0.16,0.37,1.10,0.031,37,97,0.9922,3.4,0.58,10.5,4,8,5,6,6
6.5,0.22,0.32,4.34,0.028,36,92,0.99076,3.27,0.59,11.9,7,7,7,8,8
6.2,0.36,0.14,11.02,0.036,38,155,0.99622,3.27,0.5,9.4,6,3,5,3,6
5.7,0.21,0.25,3.73,0.035,26,81,0.9902,3.31,0.52,11.4,7,4,6,7,7
6.4,0.25,0.32,2.81,0.034,40,114,0.99114,3.31,0.58,10.8,6,9,7,7,8
7.6,0.31,0.26,1.70,0.073,40,157,0.9938,3.1,0.46,9.8,3,4,6,5,2
6.6,0.26,0.46,6.90,0.047,59,183,0.99594,3.2,0.45,9.3,4,3,5,5,5
5.7,0.21,0.25,4.06,0.035,26,81,0.9902,3.31,0.52,11.4,7,5,7,6,5
6.2,0.2,0.31,2.73,0.031,22,73,0.99035,3.24,0.52,11.3,6,6,6,7,6
6.2,0.18,0.3,3.43,0.031,23,-,0.99032,3.23,0.52,11.3,7,5,5,7,7
6.1,0.37,0.2,7.86,0.031,49,170,0.99558,3.22,0.48,9.5,4,4,4,5,4
6.2,0.36,0.14,8.90,0.036,38,155,0.99622,3.27,0.5,9.4,3,3,4,4,4
6.5,0.22,0.32,5.51,0.028,-,-,0.99076,3.27,0.59,11.9,8,9,8,8,8
7.7,0.18,0.3,1.97,0.046,49,199,0.99413,3.03,0.38,9.3,5,3,4,2,2
6.9,0.14,0.38,2.42,0.041,22,81,0.99043,3.03,0.54,11.4,6,8,6,6,7
6.9,0.14,0.38,4.49,0.041,22,81,0.99043,3.03,0.54,11.4,8,6,6,5,7
6,0.44,0.26,5.61,0.053,-,128,0.98982,3.22,0.39,12.7,7,6,6,5,5
7.1,0.36,0.4,5.01,0.033,26,118,0.98934,3.2,0.45,13.5,7,8,9,9,7
5.7,0.28,0.28,4.62,0.019,-,65,0.9902,3.06,0.52,11.2,7,5,7,6,6
6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,3,6,3,3,2
7.4,0.28,0.4,11.90,0.032,13,-,0.99629,3.01,0.46,10.8,2,1,2,2,3
6.7,0.39,0.31,4.73,0.054,27,202,0.9948,3.46,0.57,10.5,6,5,5,5,5
